id;placed_date;status;code;customer_id
1;2020-04-27T05:50:50;COMPLETED;Georgia calculate withdrawal;1
2;2020-04-26T16:47:20;COMPLETED;compress Steel out-of-the-box;2
3;2020-04-26T18:18:32;PENDING;Concrete;3
4;2020-04-27T07:44:27;CANCELLED;Investment Account;4
5;2020-04-26T19:01:17;PENDING;United States of America;5
6;2020-04-27T09:13:21;CANCELLED;IB Industrial Credit Card Account;6
7;2020-04-27T12:19:46;CANCELLED;Cotton Egyptian Pound;7
8;2020-04-26T21:15:50;COMPLETED;Home Loan Account;8
9;2020-04-27T06:10:06;COMPLETED;Human;9
10;2020-04-26T16:18:44;CANCELLED;payment;10
